ACTIVE_MEM: committed memory (gb)
Stage1
time in interval: 100s,average committed memory (gb) per 30.0s
2014-04-15 22:28:29,3.58889007568
2014-04-15 22:28:59,3.65455627441
2014-04-15 22:29:29,3.66485977173
2014-04-15 22:29:59,4.04240036011
2014-04-15 22:30:29,4.0425491333
2014-04-15 22:30:59,3.99778366089
2014-04-15 22:31:29,4.19583129883
2014-04-15 22:31:59,4.14702606201
2014-04-15 22:32:29,4.14394760132
2014-04-15 22:32:59,4.19316101074
2014-04-15 22:33:29,4.18773269653
2014-04-15 22:33:59,4.24126434326
2014-04-15 22:34:29,4.2400970459
2014-04-15 22:34:59,4.22051620483
2014-04-15 22:35:29,4.36619949341
2014-04-15 22:35:59,4.36577606201
2014-04-15 22:36:29,4.55046081543
2014-04-15 22:36:59,4.54563522339
2014-04-15 22:37:29,4.48588562012
2014-04-15 22:37:59,4.48588943481
2014-04-15 22:38:29,4.47200012207
2014-04-15 22:38:59,4.48583984375
2014-04-15 22:39:29,4.57369613647
2014-04-15 22:39:59,4.54717254639
2014-04-15 22:40:29,4.57386398315
2014-04-15 22:40:59,4.57372283936
2014-04-15 22:41:29,4.57376480103
2014-04-15 22:41:59,4.57377243042
2014-04-15 22:42:29,4.56280517578
2014-04-15 22:42:59,4.56415939331
2014-04-15 22:43:29,4.5294342041
2014-04-15 22:43:59,4.56008148193
2014-04-15 22:44:29,4.57361984253
