SAR_WRITES: io writes in mb/sec
Stage1
time in interval: 100s,average io writes in mb/sec per 30.0s
2014-04-15 22:28:29,6.040546875
2014-04-15 22:28:59,7.94310058594
2014-04-15 22:29:29,8.68616210937
2014-04-15 22:29:59,7.69389160156
2014-04-15 22:30:29,8.5798046875
2014-04-15 22:30:59,7.90053710937
2014-04-15 22:31:29,7.77798339844
2014-04-15 22:31:59,7.80728515625
2014-04-15 22:32:29,7.80051269531
2014-04-15 22:32:59,8.09556152344
2014-04-15 22:33:29,9.17036621094
2014-04-15 22:33:59,8.41466308594
2014-04-15 22:34:29,7.82306152344
2014-04-15 22:34:59,7.71487792969
2014-04-15 22:35:29,7.7256640625
2014-04-15 22:35:59,8.26686035156
2014-04-15 22:36:29,7.80089355469
2014-04-15 22:36:59,8.61263671875
2014-04-15 22:37:29,9.04159179688
2014-04-15 22:37:59,7.58339355469
2014-04-15 22:38:29,7.47349121094
2014-04-15 22:38:59,7.61627441406
2014-04-15 22:39:29,7.54600097656
2014-04-15 22:39:59,7.28931640625
2014-04-15 22:40:29,7.55964355469
2014-04-15 22:40:59,7.61119140625
2014-04-15 22:41:29,7.46998535156
2014-04-15 22:41:59,7.63856933594
2014-04-15 22:42:29,7.53178710938
2014-04-15 22:42:59,7.48721679687
2014-04-15 22:43:29,7.63387695313
2014-04-15 22:43:59,7.53048339844
2014-04-15 22:44:29,7.55291015625
